review,rating,cleaned_review,sentiment
"Proses Verifikasi sangat susah, lama dan ribet, STNK harus foto langsung via aplikasinya dan hasilnya blur, ngga jelas",2,proses verifikasi sangat susah lama dan ribet stnk harus foto langsung via aplikasinya dan hasilnya blur ngga jelas,netral
"Mau isi bbm bayar via aplikasi(non tunai) ngga ada yg bisa, karyawan/petugasnya blg blm bisa tp di daftar web spbu sudah bisa pakai my pertamina,minta solusi lewat DM malah suruh nyebutin nama petugasnya,hilih",1,mau isi bbm bayar via aplikasinon tunai ngga ada yg bisa karyawanpetugasnya blg blm bisa tp di daftar web spbu sudah bisa pakai my pertaminaminta solusi lewat dm malah suruh nyebutin nama petugasnyahilih,netral
Pertamax oplosan,1,pertamax oplosan,netral
ok,5,ok,positif
manTAF,5,mantaf,netral
Busuk,1,busuk,netral
"malesss pake elu, pake si kerang kuning sekarang gua wkwkwk",1,malesss pake elu pake si kerang kuning sekarang gua wkwkwk,netral
jozzz,5,jozzz,netral
"Gak ikhlas kami se indonesia di bohongin beli pertamax dapat nya pertalite,tanggung jawab kocak",1,gak ikhlas kami se indonesia di bohongin beli pertamax dapat nya pertalitetanggung jawab kocak,netral
"Minyak Oplosan, Bisa² nya Pertamina ya",1,minyak oplosan bisa² nya pertamina ya,netral
Oplosan,1,oplosan,netral
Pendaftaran roda 4 knp lama prosesnya,1,pendaftaran roda  knp lama prosesnya,netral
Apk gajelas,1,apk gajelas,netral
PENIPU RAKYAT,1,penipu rakyat,netral
Puas banget hebat,5,puas banget hebat,netral
mantapp,5,mantapp,netral
Sangat buruk,2,sangat buruk,netral
Tidak bisa mengganti nomer Telp di layar profil,2,tidak bisa mengganti nomer telp di layar profil,netral
Oplos,1,oplos,netral
Keren,5,keren,netral
Pertamax rasa pertalite,1,pertamax rasa pertalite,netral
Yth admin my Pertamina.Sy sangat berharap agar menyediakan layanan transaksi dg menggunakan akun Dana sbg alat pembayaran yg lengkap ekonomis krn saat ini blm tersedia. Mohon kebijaksanaan nya kk.🙏🙏🙏,3,yth admin my pertaminasy sangat berharap agar menyediakan layanan transaksi dg menggunakan akun dana sbg alat pembayaran yg lengkap ekonomis krn saat ini blm tersedia mohon kebijaksanaan nya kk,netral
Pertamax adalah pertalite yg tidak antri,1,pertamax adalah pertalite yg tidak antri,netral
PERTAMAX OPLOSAN,1,pertamax oplosan,netral
Korup !,1,korup,netral
Aplikasi bosok. Ribet banget toh ujung2nya ngerugiin masyarakat. Nyatanya yg gk subsidi beli pertamax juga kau bohongi! Pakai acara pakai aplikasi² ribet kayak gini!,1,aplikasi bosok ribet banget toh ujungnya ngerugiin masyarakat nyatanya yg gk subsidi beli pertamax juga kau bohongi pakai acara pakai aplikasi² ribet kayak gini,netral
KAKEEN POLAH WIS DAFTR YO WES NDADAK PERBAHARUAN TERUSSS RA MASOK!,1,kakeen polah wis daftr yo wes ndadak perbaharuan terusss ra masok,netral
PARAH TERNYATA DITIPU SAMA NEGARA SENDIRI,1,parah ternyata ditipu sama negara sendiri,netral
Oploss gan,1,oploss gan,netral
sangat membantu,4,sangat membantu,netral
"Pertamina bukan ""pasti pas"" lagi tapi ""pasti di oplos""",1,pertamina bukan pasti pas lagi tapi pasti di oplos,netral
keamanan payah data pribadi bocor nomor telepon pribadi masuk ke deepweb,1,keamanan payah data pribadi bocor nomor telepon pribadi masuk ke deepweb,netral
Cara cek BBM oplosan bagaimana ya? Apa aman kita isi BBM di semua SPBU Pertamina?,1,cara cek bbm oplosan bagaimana ya apa aman kita isi bbm di semua spbu pertamina,netral
"Sejak dulu selalu isi pertamax, entah motor maupun mobil, ternyata selama ini isi pertamax, aslinya pertalite,, sungguh membagongkan, udh harganya overprice di banding produk shell negara lain....",1,sejak dulu selalu isi pertamax entah motor maupun mobil ternyata selama ini isi pertamax aslinya pertalite sungguh membagongkan udh harganya overprice di banding produk shell negara lain,netral
Mana bentuk pertanggungjawaban pertamina atas kasus pengoplosan pertamax? Bukan negara yang rugi tapi kita konsumen yang rugi,1,mana bentuk pertanggungjawaban pertamina atas kasus pengoplosan pertamax bukan negara yang rugi tapi kita konsumen yang rugi,netral
"Sangat sangat mengecewakan, masak memfoto STNK ada 20 kali lebih gagal terus, padahal udah sesuai instruksi, tolong diperbaiki lagi",1,sangat sangat mengecewakan masak memfoto stnk ada  kali lebih gagal terus padahal udah sesuai instruksi tolong diperbaiki lagi,netral
Aplikasi bobrok....,1,aplikasi bobrok,netral
STOP PERTAMINA!!!!!!,1,stop pertamina,netral
Susah dapet barcode gara pertamax oplosan dong😂,1,susah dapet barcode gara pertamax oplosan dong,netral
"Aslinya bintang 0 soalnya gak guna, pembohong rakyat, rugiin rakyat, Kalah sama shell hahaaha",1,aslinya bintang  soalnya gak guna pembohong rakyat rugiin rakyat kalah sama shell hahaaha,netral
Bagus sangat membantu,5,bagus sangat membantu,netral
"Kaya judul lagu "" oplosan """,1,kaya judul lagu  oplosan,netral
Aplikasi gak guna mempersulit masyarakat saja.!,1,aplikasi gak guna mempersulit masyarakat saja,netral
"Daftar sulit gagal terus, padahal mau beli bbm bukan mau minta",1,daftar sulit gagal terus padahal mau beli bbm bukan mau minta,netral
"Bobrok, pertalite di oplos jadi pertamx",1,bobrok pertalite di oplos jadi pertamx,netral
Apk nya ko ngeselin yaa katanya sih udah merdeka tapi mau beli bensin sulit,1,apk nya ko ngeselin yaa katanya sih udah merdeka tapi mau beli bensin sulit,netral
Oploss terussss... Josssss,1,oploss terussss josssss,netral
Korupsii,1,korupsii,netral
"Aplikasi butut, angggaran doang tinggi, tp app kek buatan anak SD.. Dari malam, pagi, siang, smpe malam lagi coba daftar subsidi tepat masa iya kesalahan sistem teruss..app dari pemerintah emang ga ada yg bener🤣🤣",1,aplikasi butut angggaran doang tinggi tp app kek buatan anak sd dari malam pagi siang smpe malam lagi coba daftar subsidi tepat masa iya kesalahan sistem terussapp dari pemerintah emang ga ada yg bener,netral
Miriss tingkah laku dirut pertamina! Gajih mu masih kurang kah??apakabar kami yg sulit cari kerja,1,miriss tingkah laku dirut pertamina gajih mu masih kurang kahapakabar kami yg sulit cari kerja,netral
"Aplikasi ga berguna, mau bikin barcode aja ribetnya minta ampun, shell dan vivo ayo cepetan buka di semarang",1,aplikasi ga berguna mau bikin barcode aja ribetnya minta ampun shell dan vivo ayo cepetan buka di semarang,netral
"Sok sokan subsidi tepat, pertamax malah di oplos",1,sok sokan subsidi tepat pertamax malah di oplos,netral
KORUPTOR SEMUANYA,1,koruptor semuanya,netral
"Bikin barkot susah pol kirim foto ktp gagal terus,sengaja sama pertamina ben datang ke pertamina atau pom bensin habis tu bayar biaya administrasi",1,bikin barkot susah pol kirim foto ktp gagal terussengaja sama pertamina ben datang ke pertamina atau pom bensin habis tu bayar biaya administrasi,netral
Mohon bantuannya my pertamina. Saya kesulitan dalam pembuatan barcode pertalite,1,mohon bantuannya my pertamina saya kesulitan dalam pembuatan barcode pertalite,netral
Aplikasi kadang membuat tidak ada solusi ketika no polisi sudah terdafta,3,aplikasi kadang membuat tidak ada solusi ketika no polisi sudah terdafta,netral
"pendaftaran gagal karena blangko stnk habis, tlp call center tidak ada solusi, padahal sdah ada stempel pada blangko yang menandakan masih proses , tolong kedepanya ada solusi untuk case seperti ini, wooo sudah g ada solusi terkait blangko stnk yang habis buat daftar pertalite terpaksa beli pertamax 3 bulan ini ternyata ada issue pertamaxnya setara pertalite , double kill jadinya parah 😑😑",1,pendaftaran gagal karena blangko stnk habis tlp call center tidak ada solusi padahal sdah ada stempel pada blangko yang menandakan masih proses  tolong kedepanya ada solusi untuk case seperti ini wooo sudah g ada solusi terkait blangko stnk yang habis buat daftar pertalite terpaksa beli pertamax  bulan ini ternyata ada issue pertamaxnya setara pertalite  double kill jadinya parah,negatif
ok mantap,5,ok mantap,positif
Saya minta ganti rugi karna isi pertamax malah dioplos dengan pertalite,1,saya minta ganti rugi karna isi pertamax malah dioplos dengan pertalite,netral
"Uninstall, kecewa.",1,uninstall kecewa,netral
Ini serius kita di bohongi selama beberapa tahun?,1,ini serius kita di bohongi selama beberapa tahun,netral
ok mantap,5,ok mantap,positif
Ganti rugi pertamaxlite oplosan ke masyarakat,1,ganti rugi pertamaxlite oplosan ke masyarakat,netral
Ga guna,1,ga guna,netral
Tolol,1,tolol,netral
Donlod cuma mau ngasih bintang 1 aja,1,donlod cuma mau ngasih bintang  aja,netral
praktis,5,praktis,netral
Wah wah ni catatan ya kekecewaan kami buat kau Pertamina... Pertamax kau ubah jadi pertalite...,1,wah wah ni catatan ya kekecewaan kami buat kau pertamina pertamax kau ubah jadi pertalite,netral
Beli pertamax ternyata pertalite oplosan. Parahhhhhh,1,beli pertamax ternyata pertalite oplosan parahhhhhh,netral
Pertamax tapi isinya pertalite??????? Ini pertamina gak bisa jadi perusahaan yg bia kontrol anak perusahaannya kah? Apa emang udah disetting aja?,1,pertamax tapi isinya pertalite ini pertamina gak bisa jadi perusahaan yg bia kontrol anak perusahaannya kah apa emang udah disetting aja,netral
Selalu tidak bisa mendaftar subsidi tepat,1,selalu tidak bisa mendaftar subsidi tepat,netral
Pertamax rasa pertalite,1,pertamax rasa pertalite,netral
Aplikasi cacat. Sulit untuk daftar,1,aplikasi cacat sulit untuk daftar,netral
Kecewa beli pertamax yang di oplos. Padahal saya pelanggan lama menggunakan pertamax. Mending pake SPBU sebelah (shell). Selamat tinggal pertamina! Selamat tinggal BUMN! Kau selalu mengecewakan rakyat.,1,kecewa beli pertamax yang di oplos padahal saya pelanggan lama menggunakan pertamax mending pake spbu sebelah shell selamat tinggal pertamina selamat tinggal bumn kau selalu mengecewakan rakyat,netral
Bilangnya Pertamina Rugi tiap tahun. ternyata di korupsi sama pegawainya sendiri...mirisss mirissss,1,bilangnya pertamina rugi tiap tahun ternyata di korupsi sama pegawainya sendirimirisss mirissss,netral
lumayan,4,lumayan,netral
"Sangat kecewa terhadap berita oplos pertamax, saya pengguna pertamax mengetahui motor rusak selama ini ternyata ulah oknum anda sendiri. Semoga kezaliman berbalik ke anda dan kroni semua.",1,sangat kecewa terhadap berita oplos pertamax saya pengguna pertamax mengetahui motor rusak selama ini ternyata ulah oknum anda sendiri semoga kezaliman berbalik ke anda dan kroni semua,netral
"sungguh sulit upload stnk melalui aplikasi mypertamina, tidak ada pilihan ambil photo di galeri supaya bisa di cek yang katanya buram dan tidak terbaca, apa ada solusi yang lain atau tetap mempertahankan aplikasi yang ada",3,sungguh sulit upload stnk melalui aplikasi mypertamina tidak ada pilihan ambil photo di galeri supaya bisa di cek yang katanya buram dan tidak terbaca apa ada solusi yang lain atau tetap mempertahankan aplikasi yang ada,netral
Lag parah!,1,lag parah,netral
Ok,5,ok,positif
"kamera nya kok 0,5. ambil foto stnk jafi susah. tolong perbaiki. mau beli bbm aja di persulit daftar qr juga sulit. gimana negara mau maju herann.",1,kamera nya kok  ambil foto stnk jafi susah tolong perbaiki mau beli bbm aja di persulit daftar qr juga sulit gimana negara mau maju herann,netral
sistem bermasalah terus😡mau daftar ga bisa bisa😡😤,1,sistem bermasalah terusmau daftar ga bisa bisa,netral
varian baru pertamix = pertamax oplos pertalite 😂🤣,1,varian baru pertamix  pertamax oplos pertalite,netral
petugas ny agak lambat,4,petugas ny agak lambat,netral
percuma beli pertamax ternyata pertalite,1,percuma beli pertamax ternyata pertalite,netral
Aplikasi cuma bikin susah foto selalu blur dan tdk bisa ambil dari galeri,1,aplikasi cuma bikin susah foto selalu blur dan tdk bisa ambil dari galeri,netral
mantap,5,mantap,netral
sangat 👍,4,sangat,netral
Baru mencoba,5,baru mencoba,netral
Semoga amanah,5,semoga amanah,netral
"Ganti rugi udah korupsi Pertamax oplosan jadi selama ini gua selalu ngisi full Pertamax taunya pertalite di kasi pewarna doang, Gua minta ganti rugi bener bener yah Pertamina",1,ganti rugi udah korupsi pertamax oplosan jadi selama ini gua selalu ngisi full pertamax taunya pertalite di kasi pewarna doang gua minta ganti rugi bener bener yah pertamina,positif
Mau daftar baru Sudah 5 hari selalu sistem selalu ada hambatan silahkan ulang beberapa saat sampai kiamat,3,mau daftar baru sudah  hari selalu sistem selalu ada hambatan silahkan ulang beberapa saat sampai kiamat,netral
asal jg diganti pertalite oplosan,5,asal jg diganti pertalite oplosan,netral
Keren habis,5,keren habis,netral
Oplosan aduhh sedih sekali tinggal di Indonesia,1,oplosan aduhh sedih sekali tinggal di indonesia,netral
Bravo 👏🏻,5,bravo,netral
good app,5,good app,positif
Aplikasi abal-abal,1,aplikasi abalabal,netral
ok,4,ok,positif
simple and fast,5,simple and fast,positif
Undang undang konsumen atas penipuan isi dalam kandungan pertamax nya mana min?,1,undang undang konsumen atas penipuan isi dalam kandungan pertamax nya mana min,netral
"Tuku pertamax jebul oplosan pertalite, penipu!",1,tuku pertamax jebul oplosan pertalite penipu,netral
Lumayan,3,lumayan,netral
Masi di pelajari,5,masi di pelajari,netral
"PARAH BGT YA PERTAMAX DI OPLOS HEHE, GA ADA NIATAN TANGGUNG JAWAB?",1,parah bgt ya pertamax di oplos hehe ga ada niatan tanggung jawab,netral
ladang korup,1,ladang korup,netral
Terimakasih Pertamina atas program nya,5,terimakasih pertamina atas program nya,netral
"Mau daftar jadi member baru malah stuck bagian foto stnk, tolong diperbaiki developer padahal pake hape spek dewa",1,mau daftar jadi member baru malah stuck bagian foto stnk tolong diperbaiki developer padahal pake hape spek dewa,netral
Oklah,5,oklah,netral
"Aplikasi terburuk Sepanjang peradaban manusia, selalu mempersulit gini amat tinggal di negara konoha",1,aplikasi terburuk sepanjang peradaban manusia selalu mempersulit gini amat tinggal di negara konoha,netral
"apaan sih min, kameranya blur, gambar stnk di tolak mulu, yang salah siapa coba?🙂",1,apaan sih min kameranya blur gambar stnk di tolak mulu yang salah siapa coba,netral
beres,1,beres,netral
"Udah ribet, eh ada kasus baru korupsi minyak mentah",1,udah ribet eh ada kasus baru korupsi minyak mentah,netral
menjadi lebih mudah dalam pembelian BBM,5,menjadi lebih mudah dalam pembelian bbm,netral
"Ini kalo mau pake kamera my pertamina minimal gak blur lah apalagi buat STNK, mana gak bisa pake kamera pribadi lagi perbaiki tuh",1,ini kalo mau pake kamera my pertamina minimal gak blur lah apalagi buat stnk mana gak bisa pake kamera pribadi lagi perbaiki tuh,negatif
terbaik,5,terbaik,netral
coba dulu,5,coba dulu,netral
mantabb,5,mantabb,netral
"tolong untuk kamera nya di jernihkan saya foto stnk secara langsung tetep keliatan burem, sampai sekarang masih belum bisa",3,tolong untuk kamera nya di jernihkan saya foto stnk secara langsung tetep keliatan burem sampai sekarang masih belum bisa,netral
good,5,good,positif
Aplikasi ini terkhususnya pada bagian unggah foto pada subsidi tepat menandakan kecerdasan pembuatnya,1,aplikasi ini terkhususnya pada bagian unggah foto pada subsidi tepat menandakan kecerdasan pembuatnya,netral
"Indonesia gelap, masak pertamina mauikut? Perbaiki aplikasinya donk,",1,indonesia gelap masak pertamina mauikut perbaiki aplikasinya donk,netral
Sangat membantu,5,sangat membantu,netral
Di suruh foto STNK pake kamera bawaan aplikasi tp hasilnya buram kwkwkwkwkkwkwkwkkw gk ikhlas ya ngasih subsidi,1,di suruh foto stnk pake kamera bawaan aplikasi tp hasilnya buram kwkwkwkwkkwkwkwkkw gk ikhlas ya ngasih subsidi,netral
Mantap,5,mantap,netral
"Percuma download ngak semua SPBU Nerima, mau moderen tapi kaga merata kocak.",1,percuma download ngak semua spbu nerima mau moderen tapi kaga merata kocak,netral
"pelayanan buruk , banyak antrian khusus my Pertamina yang dihapus untuk motor sehingga gabung di antrian yg bayar cash . terus apa gunanya untuk motor .",1,pelayanan buruk  banyak antrian khusus my pertamina yang dihapus untuk motor sehingga gabung di antrian yg bayar cash  terus apa gunanya untuk motor,netral
"Apk lelet Data sudah terisi sesuai yg diminta, ujung2 nya gak bisa next. Duhh",1,apk lelet data sudah terisi sesuai yg diminta ujung nya gak bisa next duhh,netral
"Adain fitur ganti nomer dong, kalo ga ada opsi kirim OTP via gmail.",5,adain fitur ganti nomer dong kalo ga ada opsi kirim otp via gmail,netral
Puas,5,puas,netral
mantep gan,5,mantep gan,netral
ok,5,ok,positif
Mantap 👍,5,mantap,netral
Sangat membantu masyarakat untuk memperoleh BBM langsung di SPBU,5,sangat membantu masyarakat untuk memperoleh bbm langsung di spbu,netral
sangat mudah digunakan,5,sangat mudah digunakan,netral
Thank's semoga lebih baik lagi dan banyak diskonnya,5,thanks semoga lebih baik lagi dan banyak diskonnya,positif
Mantap,5,mantap,netral
Kamerane gembluk,1,kamerane gembluk,netral
"Aplikasinya tidak membantu, tambah ruwet",1,aplikasinya tidak membantu tambah ruwet,netral
membantu sih,5,membantu sih,netral
Mantaf,5,mantaf,netral
"App sampah, saya sudah isi data mobil dengan baik dan benar kok malah data tidak sesuai.. mempersulit saja",5,app sampah saya sudah isi data mobil dengan baik dan benar kok malah data tidak sesuai mempersulit saja,netral
Bagus,5,bagus,netral
"Rumit,susah daftar, saya habis mutasi ngak bisa daftar",1,rumitsusah daftar saya habis mutasi ngak bisa daftar,netral
good aplikasi,5,good aplikasi,positif
Eror terus,1,eror terus,netral
ok,5,ok,positif
Good,5,good,positif
Memudahkan dalam bertransaksi,5,memudahkan dalam bertransaksi,netral
Apk tidak jelas komplain gak di respon jawabannya sama setiap minta keterangan.. Barcode di blokir.. Sudah mengisi persyaratan dan sdh dapat ID pelaporan... Sampai sekarang 1 bln lebih tidak ada kejelasan. Ya Alloh sungguh sedih untuk mencari keadilan di negara ini... Karena oknum yang tidak kompeten,1,apk tidak jelas komplain gak di respon jawabannya sama setiap minta keterangan barcode di blokir sudah mengisi persyaratan dan sdh dapat id pelaporan sampai sekarang  bln lebih tidak ada kejelasan ya alloh sungguh sedih untuk mencari keadilan di negara ini karena oknum yang tidak kompeten,netral
berguna sekali disaat tidak membawa uang tunai dan juga ad promo setiap pembelian produk pertamax series..,5,berguna sekali disaat tidak membawa uang tunai dan juga ad promo setiap pembelian produk pertamax series,netral
Ok,5,ok,positif
Mau registrasi otp g masuk2 kok ribet amat ya aplikasinya..pliss solusi nya cara cepat buat buat akunnya,1,mau registrasi otp g masuk kok ribet amat ya aplikasinyapliss solusi nya cara cepat buat buat akunnya,netral
mantap,5,mantap,netral
bagus,5,bagus,netral
Bagus,5,bagus,netral
bagus banget terima kasih,5,bagus banget terima kasih,netral
"Minta tolong tim,untuk pengambilan foto stnk nya terlalu susah.kamera bagus cuman kalo pas di ambil jdi buram.tidak bisa menggunakan cahaya hp",1,minta tolong timuntuk pengambilan foto stnk nya terlalu susahkamera bagus cuman kalo pas di ambil jdi buramtidak bisa menggunakan cahaya hp,netral
rekom,5,rekom,netral
mantap,5,mantap,netral
simple dalam Pembayarannya,5,simple dalam pembayarannya,netral
dana korupan,1,dana korupan,netral
Terbaik,5,terbaik,netral
"Ntah aplikasi apa ini, buat susah, settingan foto kalian itu ngeblur terus, foto ktp jadi gagal terus, dicoba pake hp semahal apapun tetap ngeblur, tolong perbaiki lah aplikasinya",1,ntah aplikasi apa ini buat susah settingan foto kalian itu ngeblur terus foto ktp jadi gagal terus dicoba pake hp semahal apapun tetap ngeblur tolong perbaiki lah aplikasinya,netral
Sangat membantu,5,sangat membantu,netral
bayar nya gampang,5,bayar nya gampang,netral
"Masyarakat di arahkan untuk pakai apk Mypertamina,, tp maintenance untuk aplikasi mypertamina di SPBU(motor) tidak di perhatikan (sering error) sekarang2 ini. Khususnya SPBU Jl.Kartini kel.margahayu Bekasi.",2,masyarakat di arahkan untuk pakai apk mypertamina tp maintenance untuk aplikasi mypertamina di spbumotor tidak di perhatikan sering error sekarang ini khususnya spbu jlkartini kelmargahayu bekasi,netral
Okeh MY PERTANI A Makasih banyak,2,okeh my pertani a makasih banyak,netral
TerBIKE,5,terbike,netral
Sangat membantu,5,sangat membantu,netral
"pom bensin nya error, transaksi sudah selesai, tetapi gak bisa ngisi, nunggu 1 jam katanya petugas SPBU",5,pom bensin nya error transaksi sudah selesai tetapi gak bisa ngisi nunggu  jam katanya petugas spbu,netral
Kurang membantu,3,kurang membantu,netral
"Memuaskan, karena pengisian teratur",4,memuaskan karena pengisian teratur,netral
Percuma didownload pas mau ngisi yang jaga bilangnya ga bisa pake mypertamina,5,percuma didownload pas mau ngisi yang jaga bilangnya ga bisa pake mypertamina,netral
"Ini tolong jangan cuma jawaban template aja. Masalah upload foto STNK selalu gagal dan ditolak verifikasi padahal dari aplikasinya yang blur fotonya sehingga tidak terbaca. Jadi susah mau mendaftarkan unit, sebenernya ga butuh jawaban template admin, tapi ada tindakan perbaikan, tolong segera diperbaiki bisa upload foto dari galeri lebih baik seharusnya.",1,ini tolong jangan cuma jawaban template aja masalah upload foto stnk selalu gagal dan ditolak verifikasi padahal dari aplikasinya yang blur fotonya sehingga tidak terbaca jadi susah mau mendaftarkan unit sebenernya ga butuh jawaban template admin tapi ada tindakan perbaikan tolong segera diperbaiki bisa upload foto dari galeri lebih baik seharusnya,netral
"Maaf, ga perlu deskripsi yang panjang. Mungkin 2 kata yang paling tepat untuk aplikasi ini adalah ""ribet"" dan ""mempersulit"". Udah ngikutin alur registrasi dari awal tapi ujung-ujungnya ga bisa.",1,maaf ga perlu deskripsi yang panjang mungkin  kata yang paling tepat untuk aplikasi ini adalah ribet dan mempersulit udah ngikutin alur registrasi dari awal tapi ujungujungnya ga bisa,netral
Ribet kendaraan tidak bisa didaftarkan udah di coba berulang-ulang,5,ribet kendaraan tidak bisa didaftarkan udah di coba berulangulang,netral
mau daftar diri aja susah. mau upload foto KTP gagal terus,1,mau daftar diri aja susah mau upload foto ktp gagal terus,netral
Baik,5,baik,netral
Wow keren,1,wow keren,positif
Mau daftar my pertamina gak bisa mulu. DM ig juga admin gak membantu sama sekali.,1,mau daftar my pertamina gak bisa mulu dm ig juga admin gak membantu sama sekali,netral
Kesulitan untuk pendaftaran karena tidak punya NPWP,1,kesulitan untuk pendaftaran karena tidak punya npwp,netral
"Daftar pertama saja sdh sulit tdk bsa d konfirmasi. Kami beli BBM dengan uang kes, bukan dengan uang hasil koropsi.",1,daftar pertama saja sdh sulit tdk bsa d konfirmasi kami beli bbm dengan uang kes bukan dengan uang hasil koropsi,netral
"Gak berguna, aplikasinya tidak memberikan kemudahan",1,gak berguna aplikasinya tidak memberikan kemudahan,netral
Tingkatkan lagi pelayanan nya,3,tingkatkan lagi pelayanan nya,netral
Bayar pake mypertamina di tolak di SPBU puspitek,1,bayar pake mypertamina di tolak di spbu puspitek,netral
"Sangat kecewa dengan pelayanan saat membayar via aplikasi ini, karena barcode susah banget terbaca (saya pakai hp saya utk bayar QRIS utk aplikasi lainnya aman2 saja). Mohon diperbaiki. Kita mendukung non tunai tapi mhn agar diperhatikan perangkat pendukungnya. Terima kasih",2,sangat kecewa dengan pelayanan saat membayar via aplikasi ini karena barcode susah banget terbaca saya pakai hp saya utk bayar qris utk aplikasi lainnya aman saja mohon diperbaiki kita mendukung non tunai tapi mhn agar diperhatikan perangkat pendukungnya terima kasih,netral
"Aplikasi sampah, foto STNK gak bisa fokus, dah coba banyak HP tetep gak bisa, ditolak terus",1,aplikasi sampah foto stnk gak bisa fokus dah coba banyak hp tetep gak bisa ditolak terus,netral
"Kenapa susah bener foto stnk nya, gagal terus kamera nya blur begitu. Coba bagai mana solusi nya min...",1,kenapa susah bener foto stnk nya gagal terus kamera nya blur begitu coba bagai mana solusi nya min,netral
Aplikasi jelek baru download langsung masukin pin harusnya kan ada tulisan daftar orng blom pernah bikin eror aplikasi lol,1,aplikasi jelek baru download langsung masukin pin harusnya kan ada tulisan daftar orng blom pernah bikin eror aplikasi lol,positif
"Mau daftar unit baru resolusi kamera makin jelek,enak ambil d galeri masih bisa d edit kalau kurang jelas",1,mau daftar unit baru resolusi kamera makin jelekenak ambil d galeri masih bisa d edit kalau kurang jelas,netral
Sangat Sering error jika mau digunakan....aplikasi sampah !!!!!!,1,sangat sering error jika mau digunakanaplikasi sampah,netral
"Gagal muat terus, sekelas pertamina aplikasinya ky ga niat, harusnya bekerja sama dengan smsat ketika ada pergantian no polisi, jadi otomatis ganti d barcode nya, nutup barcode lama ga jelas, ga ada notif d halus apa belum, buktiin kita punya no baru jg ga ada notif pengajuan d acc apa engga, kurangnya apa, kpn bisa nya ...",1,gagal muat terus sekelas pertamina aplikasinya ky ga niat harusnya bekerja sama dengan smsat ketika ada pergantian no polisi jadi otomatis ganti d barcode nya nutup barcode lama ga jelas ga ada notif d halus apa belum buktiin kita punya no baru jg ga ada notif pengajuan d acc apa engga kurangnya apa kpn bisa nya,netral
"Buruk di persulit,,sudah poto ktp,giliran di konfirmasi nik ktp tdk sesuai,,,pdhl udh sya tulis dgn sesuai,,tpi aplikasi tdk bisa membaca dgn jelas",1,buruk di persulitsudah poto ktpgiliran di konfirmasi nik ktp tdk sesuaipdhl udh sya tulis dgn sesuaitpi aplikasi tdk bisa membaca dgn jelas,netral
Mau registrasi harus ajakan teman ...,3,mau registrasi harus ajakan teman,netral
"Banyak mafia"" BBM, data/barcode konsumen di salah gunakan oleh oknum"" Pertamina",1,banyak mafia bbm databarcode konsumen di salah gunakan oleh oknum pertamina,netral
Sangat menyusahkan ketika daftar subsidi ada aja kendalanya,1,sangat menyusahkan ketika daftar subsidi ada aja kendalanya,netral
Percuma di bikinin aplikasi my Pertamina...mau isi di pertamina di tolak..hapus ajh aplikasinya ga guna,1,percuma di bikinin aplikasi my pertaminamau isi di pertamina di tolakhapus ajh aplikasinya ga guna,netral
Bagus dan sangat membantu,5,bagus dan sangat membantu,netral
Tidak mampu ini aplikasi untuk daftar seluru org saat penting ?,1,tidak mampu ini aplikasi untuk daftar seluru org saat penting,netral
Aplikasi tidak bisa memproses foto ktp,1,aplikasi tidak bisa memproses foto ktp,netral
App payah. Loading UInya aja bisa 2-5 menit padahal bar sinyal full 5 bar. Akses utk metode pembayaran juga lambat dan loading terus-menerus.,2,app payah loading uinya aja bisa  menit padahal bar sinyal full  bar akses utk metode pembayaran juga lambat dan loading terusmenerus,positif
"Assalamu'alaikum, Saya sudah daftar berkali kali gagal, data kendaraan tertulis tidak ada dalam database korlantas, padahal kami selalu bayar pajak. Apakah data korlantas nya yang belum update atau aplikasi ini yang kurang bagus ?",1,assalamualaikum saya sudah daftar berkali kali gagal data kendaraan tertulis tidak ada dalam database korlantas padahal kami selalu bayar pajak apakah data korlantas nya yang belum update atau aplikasi ini yang kurang bagus,netral
Aplikasi dangak2,1,aplikasi dangak,netral
Belum bisa daftar,5,belum bisa daftar,netral
mantap,5,mantap,netral
"Beberapa bulan ini item bayarmya tidak bisa dipakai, tangkapan layarnya blur, padahal selalu update",5,beberapa bulan ini item bayarmya tidak bisa dipakai tangkapan layarnya blur padahal selalu update,netral
sangat membantu,5,sangat membantu,netral
Lumayan membantu,4,lumayan membantu,netral
Apl mudah untuk digunakan,5,apl mudah untuk digunakan,netral
Ganti nopol harusnya bisa di update aja. Kan no rangka sama. Harus hapus akun dan daftar ulang. Upl fto stnk blur. Upl fto mobil gagal trs. Ampun deh,1,ganti nopol harusnya bisa di update aja kan no rangka sama harus hapus akun dan daftar ulang upl fto stnk blur upl fto mobil gagal trs ampun deh,netral
Keren,5,keren,netral
Sangat memuaskan dan mudah.,5,sangat memuaskan dan mudah,netral
mantaaabbpppp..👍👍,5,mantaaabbpppp,netral
mantap dan cepat,5,mantap dan cepat,netral
